Transaction ID,Product ID,Customer ID,Order Date,Quantity,Unit Price,Total Amount,Order Status
50001,3041,10192,2023-05-07 00:11:41.180154,1,18.0,18.0,Completed
50002,3001,10518,2023-05-05 00:11:41.180154,1,449.0,449.0,Completed
50003,3013,10869,2023-05-06 00:11:41.180154,2,179.0,358.0,Completed
50004,3031,10736,2023-05-08 00:11:41.180154,4,35.0,140.0,Completed
50005,3024,10797,2023-04-19 00:11:41.180154,4,12.0,48.0,Completed
50006,3020,10647,2023-04-25 00:11:41.180154,1,99.0,99.0,Completed
50007,3023,10693,2023-04-23 00:11:41.180154,1,20.0,20.0,Completed
50008,3007,10829,2023-04-27 00:11:41.180154,4,250.0,1000.0,Completed
50009,3019,10246,2023-04-29 00:11:41.180154,2,20.0,40.0,Completed
50010,3021,10474,2023-04-29 00:11:41.180154,5,45.0,225.0,Completed
50011,3044,10219,2023-04-22 00:11:41.180154,3,45.0,135.0,Completed
50012,3010,10990,2023-05-13 00:11:41.180154,2,19.0,38.0,Completed
50013,3043,10942,2023-05-03 00:11:41.180154,3,13.0,39.0,Cancelled
50014,3029,10052,2023-04-24 00:11:41.180154,4,49.0,196.0,Completed
50015,3001,10716,2023-04-18 00:11:41.180154,4,449.0,1796.0,Completed
50016,3034,10923,2023-04-16 00:11:41.180154,5,17.0,85.0,Completed
50017,3001,10187,2023-04-20 00:11:41.180154,2,449.0,898.0,Completed
50018,3050,10537,2023-04-22 00:11:41.180154,5,75.0,375.0,Completed
50019,3043,10916,2023-05-10 00:11:41.180154,3,13.0,39.0,Completed
50020,3012,10044,2023-04-24 00:11:41.180154,1,50.0,50.0,Completed
50021,3010,10708,2023-04-24 00:11:41.180154,5,19.0,95.0,Completed
50022,3017,10277,2023-04-20 00:11:41.180154,1,22.0,22.0,Completed
50023,3015,10921,2023-05-04 00:11:41.180154,2,35.0,70.0,Completed
50024,3016,10971,2023-04-24 00:11:41.180154,2,60.0,120.0,Completed
50025,3013,10943,2023-05-02 00:11:41.180154,4,179.0,716.0,Completed
50026,3028,10454,2023-05-01 00:11:41.180154,1,35.0,35.0,Completed
50027,3007,10852,2023-05-02 00:11:41.180154,3,250.0,750.0,Completed
50028,3042,10826,2023-04-23 00:11:41.180154,5,16.0,80.0,Completed
50029,3039,10305,2023-04-25 00:11:41.180154,5,399.0,1995.0,Completed
50030,3020,10812,2023-04-17 00:11:41.180154,1,99.0,99.0,Completed
50031,3042,10047,2023-05-07 00:11:41.180154,4,16.0,64.0,Completed
50032,3010,10569,2023-04-18 00:11:41.180154,4,19.0,76.0,Completed
50033,3001,10229,2023-04-20 00:11:41.180154,5,449.0,2245.0,Completed
50034,3028,10121,2023-05-05 00:11:41.180154,3,35.0,105.0,Completed
50035,3020,10085,2023-05-02 00:11:41.180154,5,99.0,495.0,Completed
50036,3024,10708,2023-05-05 00:11:41.180154,5,12.0,60.0,Completed
50037,3044,10331,2023-05-13 00:11:41.180154,1,45.0,45.0,Completed
50038,3048,10728,2023-04-23 00:11:41.180154,4,30.0,120.0,Completed
50039,3029,10074,2023-04-28 00:11:41.180154,4,49.0,196.0,Completed
50040,3036,10297,2023-04-26 00:11:41.180154,1,17.0,17.0,Completed
50041,3003,10518,2023-04-27 00:11:41.180154,3,110.0,330.0,Completed
50042,3007,10784,2023-04-18 00:11:41.180154,4,250.0,1000.0,Completed
50043,3035,10305,2023-04-29 00:11:41.180154,1,99.0,99.0,Completed
50044,3019,10612,2023-05-11 00:11:41.180154,3,20.0,60.0,Cancelled
50045,3020,10885,2023-05-04 00:11:41.180154,1,99.0,99.0,Completed
50046,3013,10592,2023-04-29 00:11:41.180154,1,179.0,179.0,Completed
50047,3027,10230,2023-05-13 00:11:41.180154,4,60.0,240.0,Completed
50048,3007,10034,2023-04-25 00:11:41.180154,5,250.0,1250.0,Completed
50049,3028,10861,2023-05-02 00:11:41.180154,5,35.0,175.0,Completed
50050,3007,10028,2023-04-23 00:11:41.180154,4,250.0,1000.0,Completed
50051,3002,10869,2023-04-27 00:11:41.180154,5,40.0,200.0,Completed
50052,3014,10510,2023-05-04 00:11:41.180154,3,48.0,144.0,Completed
50053,3009,10938,2023-05-10 00:11:41.180154,5,40.0,200.0,Completed
50054,3044,10790,2023-04-16 00:11:41.180154,3,45.0,135.0,Completed
50055,3001,10999,2023-04-26 00:11:41.180154,3,449.0,1347.0,Completed
50056,3007,10347,2023-05-13 00:11:41.180154,2,250.0,500.0,Completed
50057,3023,10764,2023-04-18 00:11:41.180154,4,20.0,80.0,Completed
50058,3020,10396,2023-04-18 00:11:41.180154,1,99.0,99.0,Completed
50059,3001,10464,2023-04-30 00:11:41.180154,4,449.0,1796.0,Completed
50060,3001,10612,2023-04-25 00:11:41.180154,3,449.0,1347.0,Completed
50061,3050,10869,2023-05-05 00:11:41.180154,5,75.0,375.0,Completed
50062,3030,10987,2023-04-21 00:11:41.180154,2,14.0,28.0,Completed
50063,3016,10767,2023-04-24 00:11:41.180154,1,60.0,60.0,Completed
50064,3020,10404,2023-05-01 00:11:41.180154,4,99.0,396.0,Completed
50065,3011,10406,2023-04-22 00:11:41.180154,3,140.0,420.0,Completed
50066,3015,10738,2023-04-19 00:11:41.180154,4,35.0,140.0,Completed
50067,3030,10239,2023-05-01 00:11:41.180154,5,14.0,70.0,Completed
50068,3044,10116,2023-04-28 00:11:41.180154,2,45.0,90.0,Completed
50069,3007,10352,2023-04-25 00:11:41.180154,2,250.0,500.0,Cancelled
50070,3041,10273,2023-05-10 00:11:41.180154,2,18.0,36.0,Completed
50071,3005,10277,2023-04-19 00:11:41.180154,3,100.0,300.0,Completed
50072,3008,10231,2023-04-21 00:11:41.180154,4,28.0,112.0,Completed
50073,3001,10053,2023-05-08 00:11:41.180154,5,449.0,2245.0,Completed
50074,3006,10024,2023-05-12 00:11:41.180154,5,25.0,125.0,Completed
50075,3045,10990,2023-05-13 00:11:41.180154,4,129.0,516.0,Completed
50076,3020,10409,2023-04-30 00:11:41.180154,1,99.0,99.0,Completed
50077,3003,10384,2023-04-29 00:11:41.180154,5,110.0,550.0,Completed
